Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,5,3,1,3,0,6,2,1,1,3,25,6.08
She is referring to everybody in the group,7,3,2,2,4,1,1,0,1,4,25,6.64
There is tension between people in the group,3,5,8,2,1,0,1,0,4,0,24,7.13
People in the group disagree with one another,1,3,5,7,4,1,0,2,0,1,24,6.75
This group consists of many people,0,2,0,4,7,4,3,2,2,1,25,5.24
People in the group generally get along,0,1,1,1,4,7,5,3,1,1,24,4.79
The speaker likes the people in the group,1,3,2,2,0,2,5,3,5,2,25,4.72
The speaker is in annoyed with the group,3,3,4,1,1,1,3,3,1,5,25,5.4
The speaker is in control of the group,5,1,1,1,2,1,5,3,5,1,25,5.24
The speaker is open to feedback from the group,0,0,1,2,2,2,0,8,4,6,25,3.28
