Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,7,4,2,3,2,3,1,2,5,8,37,5.35
She is referring to everybody in the group,10,8,4,2,6,0,3,2,2,1,38,7.29
There is tension between people in the group,5,4,3,2,5,1,1,7,8,3,39,5.21
People in the group disagree with one another,2,6,5,3,1,5,3,7,6,1,39,5.44
This group consists of many people,3,5,8,9,3,3,7,1,0,0,39,6.82
People in the group generally get along,0,3,9,4,4,5,2,4,4,3,38,5.45
The speaker likes the people in the group,2,3,5,5,8,5,5,3,2,1,39,5.87
The speaker is in annoyed with the group,3,1,3,5,2,2,3,4,4,11,38,4.29
The speaker is in control of the group,5,4,1,2,3,8,7,2,4,3,39,5.41
The speaker is open to feedback from the group,3,2,0,5,4,5,6,5,3,7,40,4.6
