Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,8,6,9,7,4,2,1,1,1,4,43,7.02
She is referring to everybody in the group,23,11,2,3,0,0,0,0,3,1,43,8.67
There is tension between people in the group,2,0,5,1,5,2,2,9,9,7,42,3.98
People in the group disagree with one another,0,4,1,2,2,1,7,13,10,3,43,3.84
This group consists of many people,4,9,10,7,3,6,3,1,0,0,43,7.28
People in the group generally get along,0,2,9,10,7,8,3,3,1,0,43,6.16
The speaker likes the people in the group,1,1,0,8,8,8,10,4,2,1,43,5.12
The speaker is in annoyed with the group,2,1,2,1,0,0,3,10,10,14,43,2.98
The speaker is in control of the group,2,5,3,3,4,7,8,1,4,6,43,5.07
The speaker is open to feedback from the group,1,4,2,1,10,9,6,1,3,6,43,4.95
