Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,3,4,3,0,4,4,1,0,0,2,21,6.67
She is referring to everybody in the group,12,6,0,0,1,0,0,1,0,1,21,8.76
There is tension between people in the group,3,6,5,0,3,1,0,3,0,1,22,7.14
People in the group disagree with one another,0,1,4,5,0,1,4,0,3,3,21,5.05
This group consists of many people,3,2,3,3,5,1,0,2,2,0,21,6.57
People in the group generally get along,0,0,2,3,3,6,3,2,2,1,22,4.91
The speaker likes the people in the group,0,0,0,2,0,3,6,5,3,2,21,3.62
The speaker is in annoyed with the group,0,1,2,3,0,4,3,4,3,1,21,4.62
The speaker is in control of the group,0,1,1,2,1,0,3,3,7,4,22,3.45
The speaker is open to feedback from the group,0,0,1,3,4,1,1,2,2,7,21,3.76
