Answer Choices,1,2,3,4,5,6,7,8,9,10,Total,Score
People in the group are working together to solve a problem,22,5,3,3,3,1,2,1,0,4,44,7.91
She is referring to everybody in the group,8,20,3,4,3,3,1,1,0,0,43,8.19
There is tension between people in the group,1,2,4,3,5,3,5,6,6,9,44,4.2
People in the group disagree with one another,0,1,3,6,3,3,4,7,12,4,43,4.02
This group consists of many people,1,4,8,7,8,4,5,5,2,0,44,6.05
People in the group generally get along,5,4,7,4,5,4,8,4,2,1,44,6.11
The speaker likes the people in the group,1,2,5,6,8,9,6,4,1,1,43,5.63
The speaker is in annoyed with the group,1,1,4,2,1,3,0,11,7,13,43,3.4
The speaker is in control of the group,6,4,1,4,2,7,4,4,8,4,44,5.16
The speaker is open to feedback from the group,0,1,5,4,6,7,8,0,4,9,44,4.48
